store_id,product_id,quantity,last_update
2,64,55,2020-01-07
1,33,20,2021-10-24
4,12,10,2019-02-10
5,68,28,2019-06-01
2,28,99,2018-09-23
2,56,37,2019-10-04
5,61,30,2018-06-01
5,80,66,2021-02-11
5,56,85,2020-03-14
2,69,95,2019-03-19
5,85,2,2022-07-20
3,46,96,2022-02-05
2,4,80,2020-05-26
1,3,20,2018-09-11
4,99,29,2022-03-26
5,64,99,2023-01-19
4,79,45,2019-07-08
2,46,84,2022-02-17
4,25,6,2021-10-11
2,56,67,2021-08-05
5,11,19,2022-03-24
1,69,60,2020-03-17
2,35,90,2019-02-21
3,38,85,2022-09-13
1,99,34,2019-06-04
3,56,76,2020-07-11
3,9,33,2018-04-27
3,6,73,2021-11-12
2,96,65,2019-07-04
5,57,72,2019-12-31
5,19,15,2020-04-08
2,51,35,2021-10-11
2,14,12,2021-12-29
2,2,28,2019-05-13
3,82,67,2021-05-18
3,98,25,2022-04-23
2,31,15,2020-03-24
1,21,26,2022-01-08
4,13,63,2019-05-15
3,4,95,2023-03-15
1,11,59,2019-10-03
4,2,38,2019-03-29
5,81,22,2020-08-10
1,89,86,2018-05-24
4,47,37,2019-09-18
4,2,29,2019-06-26
3,63,55,2018-07-30
1,74,55,2020-04-26
5,98,92,2018-12-26
5,45,40,2020-06-21
3,59,83,2023-04-25
3,1,92,2020-09-19
2,65,35,2021-11-07
5,82,13,2021-02-07
1,58,45,2019-05-12
1,89,29,2019-01-26
1,84,21,2023-04-21
1,77,42,2019-01-20
5,68,71,2020-02-29
2,38,73,2023-02-02
3,13,46,2021-12-18
1,50,43,2019-05-11
1,26,28,2022-01-08
1,11,39,2021-02-24
2,44,31,2020-09-25
4,83,31,2022-08-23
1,93,12,2020-08-22
3,67,92,2021-07-01
4,6,71,2019-03-22
5,45,55,2019-01-12
2,54,79,2020-01-14
3,38,100,2020-11-10
3,98,92,2019-08-24
1,79,76,2023-04-11
4,45,60,2022-04-21
2,52,7,2018-11-24
3,50,25,2023-03-21
5,67,50,2022-10-12
2,96,91,2019-02-21
2,53,66,2019-05-10
5,64,79,2021-01-26
1,83,38,2021-07-16
5,94,85,2018-07-19
3,13,86,2022-11-27
4,63,90,2020-07-13
5,25,74,2020-07-12
4,2,62,2022-05-28
5,11,52,2019-01-27
3,85,25,2019-04-05
5,7,55,2019-09-25
2,64,7,2020-06-13
2,57,54,2019-05-08
2,94,45,2021-04-21
5,42,50,2021-11-17
5,69,6,2019-09-15
4,18,80,2021-08-30
1,41,29,2021-06-07
3,9,63,2023-02-15
5,83,20,2021-07-11
3,100,29,2018-06-06
3,58,58,2022-04-28
4,58,100,2021-12-05
1,54,36,2019-04-06
2,6,81,2022-10-24
3,99,35,2022-05-30
2,46,83,2020-04-22
4,43,22,2021-05-21
1,90,64,2018-09-14
1,13,90,2023-01-29
1,29,58,2022-03-02
2,24,66,2020-10-27
4,8,45,2018-10-21
1,98,16,2020-11-21
2,58,5,2022-06-03
2,17,88,2020-09-20
2,43,49,2020-02-16
4,57,58,2019-11-09
3,54,65,2022-10-20
5,69,25,2022-07-08
2,44,19,2019-08-20
3,62,91,2022-09-27
3,41,100,2021-07-25
2,69,70,2021-11-18
2,67,79,2022-11-19
2,87,91,2018-07-07
5,70,18,2020-09-03
5,93,2,2023-02-09
3,32,99,2019-08-29
4,60,17,2019-06-04
4,86,25,2018-05-03
3,43,61,2022-12-30
5,15,19,2022-07-16
5,75,70,2022-08-29
4,24,84,2020-02-08
3,74,74,2022-12-04
2,68,37,2020-09-17
5,75,19,2022-09-19
5,24,19,2022-11-22
2,28,51,2022-04-22
4,30,13,2021-04-12
4,41,81,2020-06-29
3,29,22,2018-11-26
1,77,79,2021-02-05
5,19,5,2022-06-24
1,81,72,2022-03-28
2,42,57,2021-07-08
5,62,100,2018-05-23
3,58,35,2022-08-31
3,97,26,2019-11-03
2,63,61,2019-12-26
4,86,16,2020-02-08
3,51,68,2020-07-27
4,56,49,2021-05-31
5,42,24,2020-12-23
5,13,19,2021-07-09
2,81,36,2022-03-31
3,59,92,2018-08-02
1,55,63,2018-09-30
3,74,94,2019-03-26
3,6,63,2022-04-20
4,25,4,2019-03-28
3,40,35,2019-01-16
5,44,92,2019-04-25
2,11,56,2018-09-04
5,56,26,2022-01-06
1,68,65,2019-01-13
4,8,25,2018-05-10
1,9,4,2020-05-13
3,84,25,2021-12-03
5,48,57,2022-01-10
4,91,76,2018-10-22
1,71,11,2022-04-16
4,54,36,2022-05-05
1,96,44,2023-04-04
5,28,34,2020-07-22
3,43,87,2021-01-30
3,3,38,2018-10-09
4,70,37,2018-07-03
1,6,56,2018-05-29
3,60,79,2019-07-27
5,28,59,2022-07-04
4,46,6,2019-12-22
4,70,33,2019-01-07
1,8,72,2020-11-04
5,76,35,2021-08-27
1,6,35,2018-07-20
2,56,36,2022-04-13
2,46,34,2021-05-24
5,52,20,2022-06-11
5,7,53,2020-08-19
5,38,42,2021-08-30
3,52,95,2022-02-11
4,94,58,2020-09-11
4,98,59,2019-08-31
3,10,78,2021-03-06
4,82,49,2019-02-27
2,16,82,2018-11-19
1,5,33,2020-07-08
5,59,11,2021-07-21
3,42,46,2020-03-09
3,97,24,2022-12-26
2,74,10,2020-08-18
5,34,66,2018-12-01
1,18,51,2022-05-15
3,9,90,2019-04-26
1,32,95,2019-05-13
5,99,15,2019-08-24
2,36,78,2021-08-20
5,24,18,2021-09-13
4,91,91,2021-04-03
1,93,25,2021-07-03
3,76,76,2022-02-19
1,5,57,2019-02-17
5,74,26,2019-01-27
3,77,12,2021-04-05
5,79,5,2018-12-12
2,22,6,2021-09-13
3,14,51,2022-06-19
2,100,92,2018-09-05
1,27,92,2018-08-09
1,36,26,2020-04-19
5,69,40,2022-02-26
2,92,60,2020-09-10
4,9,48,2022-02-14
3,97,45,2021-08-17
1,56,96,2019-08-13
2,69,17,2019-09-28
5,77,63,2022-05-03
3,56,6,2023-02-27
1,67,53,2019-03-14
4,61,62,2022-03-29
2,62,89,2023-04-11
5,73,33,2019-01-10
2,48,51,2018-08-04
2,10,93,2020-02-13
2,52,57,2019-02-22
4,81,95,2019-05-08
2,16,36,2021-06-27
2,29,11,2018-07-19
1,75,97,2021-04-28
4,59,63,2019-10-23
2,51,10,2019-09-05
2,41,96,2020-08-25
2,98,63,2021-07-27
3,90,62,2022-07-21
5,90,34,2018-06-10
4,100,30,2022-02-14
2,81,79,2019-07-04
2,8,9,2020-05-02
5,71,18,2022-08-08
4,11,56,2020-10-19
3,29,24,2019-06-06
5,40,73,2020-06-07
5,88,31,2021-03-26
5,74,38,2021-11-26
5,94,87,2020-03-20
5,69,38,2019-10-12
5,59,98,2020-08-11
1,9,99,2021-07-22
5,27,43,2022-03-02
2,44,27,2020-10-18
4,38,32,2023-01-14
2,10,95,2020-12-07
4,17,49,2022-10-19
3,84,19,2022-12-28
4,23,98,2022-08-04
3,32,84,2022-11-05
1,84,55,2022-11-18
5,25,100,2023-01-26
4,27,45,2019-07-30
3,46,12,2018-09-22
3,71,23,2021-06-05
3,8,81,2018-08-14
3,100,45,2018-11-18
1,56,73,2019-09-04
2,54,67,2018-06-06
5,6,22,2022-01-23
4,2,9,2022-05-30
4,97,31,2020-03-28
4,13,3,2019-10-13
5,50,67,2022-11-20
3,62,96,2018-10-02
1,20,83,2021-11-18
2,73,46,2018-12-23
4,59,55,2021-10-30
2,63,10,2022-09-09
2,81,8,2019-01-24
4,67,13,2019-07-07
3,88,54,2020-02-26
3,14,78,2021-04-11
4,1,17,2021-05-14
2,24,93,2019-11-28
2,88,41,2021-01-12
1,91,13,2023-03-30
2,34,86,2020-03-07
2,72,52,2020-06-18
4,2,94,2019-09-06
4,76,61,2022-11-22
1,64,26,2018-11-29
5,4,29,2020-07-21
1,50,74,2022-03-24
2,89,100,2022-05-17
4,58,10,2018-11-19
5,58,48,2020-06-17
1,7,37,2019-04-25
2,6,27,2020-02-20
5,96,83,2022-04-22
3,93,20,2019-01-29
4,14,58,2019-05-28
2,86,22,2021-01-26
2,15,35,2022-03-22
2,81,10,2018-10-06
1,74,84,2022-01-14
4,69,82,2020-03-21
5,43,87,2022-11-16
1,21,70,2021-08-30
1,15,58,2022-07-03
5,100,70,2020-05-26
2,65,47,2023-01-24
2,71,10,2018-09-29
5,29,41,2022-02-12
5,30,14,2018-10-26
5,99,83,2021-07-18
2,100,98,2022-05-07
5,90,90,2021-09-11
5,86,23,2022-01-24
3,26,27,2021-04-09
2,14,22,2018-10-13
4,89,75,2021-04-13
1,27,32,2021-01-06
1,90,63,2022-02-16
5,30,2,2022-12-20
1,97,100,2018-09-14
1,32,64,2022-01-28
3,73,18,2019-08-22
4,23,64,2021-11-16
1,79,92,2019-10-27
5,96,63,2018-06-12
1,96,81,2021-09-15
5,99,58,2022-02-08
4,100,23,2023-04-07
5,74,17,2022-08-14
1,13,21,2019-03-23
1,96,25,2019-05-18
1,76,70,2021-02-17
2,99,42,2021-11-24
4,42,42,2019-12-21
2,90,65,2022-02-08
3,2,51,2021-07-12
5,63,92,2020-08-08
1,86,9,2018-10-03
3,64,41,2022-11-10
4,20,58,2022-03-17
3,13,30,2021-09-30
2,56,73,2019-05-05
3,88,39,2019-07-02
2,49,22,2018-06-18
1,15,56,2019-07-05
2,77,49,2019-05-22
2,79,32,2022-05-01
1,44,10,2020-01-15
2,23,38,2020-11-07
4,35,24,2021-03-09
5,56,20,2020-04-09
2,27,94,2018-12-26
4,48,13,2018-05-25
2,89,86,2020-05-19
5,11,7,2020-11-04
5,25,40,2020-07-13
5,21,90,2018-09-11
3,31,76,2019-04-12
5,17,6,2020-10-29
5,13,32,2021-01-28
4,84,3,2020-01-29
3,39,58,2020-08-01
4,20,57,2021-04-25
